device_id,measurement_id,room_id,room_name,routers,timestamp
esp_32_400,39,5,WH_C_335,"[{'bssid': 'dc:b8:08:c9:61:41', 'signal_strength': -51, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:61:42', 'signal_strength': -51, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:61:40', 'signal_strength': -51, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:32:e2', 'signal_strength': -61, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:32:e0', 'signal_strength': -60, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:32:e1', 'signal_strength': -60, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:2d:02', 'signal_strength': -68, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:2d:00', 'signal_strength': -66, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:2d:01', 'signal_strength': -66, 'ssid': 'HowToUseEduroam'}]",1720544010
esp_32_401,40,5,WH_C_335,"[{'bssid': 'dc:b8:08:c9:61:41', 'signal_strength': -53, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:61:42', 'signal_strength': -56, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:61:40', 'signal_strength': -53, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:32:e0', 'signal_strength': -67, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:2d:02', 'signal_strength': -62, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:2d:00', 'signal_strength': -60, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:2d:01', 'signal_strength': -61, 'ssid': 'HowToUseEduroam'}]",1720544043
esp_32_400,41,2,WH_C_35_corridor,"[{'bssid': 'dc:b8:08:c9:61:41', 'signal_strength': -67, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:61:42', 'signal_strength': -67, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:61:40', 'signal_strength': -69, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:73:01', 'signal_strength': -72, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:73:00', 'signal_strength': -72, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:73:02', 'signal_strength': -71, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:2d:02', 'signal_strength': -69, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:2d:00', 'signal_strength': -67, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:2d:01', 'signal_strength': -72, 'ssid': 'HowToUseEduroam'}]",1720544076
esp_32_401,42,2,WH_C_35_corridor,"[{'bssid': 'dc:b8:08:c9:61:41', 'signal_strength': -74, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:61:42', 'signal_strength': -76, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:61:40', 'signal_strength': -74, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:73:01', 'signal_strength': -71, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:73:00', 'signal_strength': -72, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:73:02', 'signal_strength': -72, 'ssid': 'Gast@HTW'}]",1720544111
esp_32_402,43,2,WH_C_35_corridor,"[{'bssid': 'dc:b8:08:c9:61:41', 'signal_strength': -71, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:61:42', 'signal_strength': -73, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:61:40', 'signal_strength': -70, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:73:00', 'signal_strength': -73, 'ssid': 'eduroam'}]",1720544145
esp_32_403,44,2,WH_C_35_corridor,"[{'bssid': 'dc:b8:08:c9:61:41', 'signal_strength': -61, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:61:42', 'signal_strength': -59, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:61:40', 'signal_strength': -60, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:73:01', 'signal_strength': -71, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:73:00', 'signal_strength': -71, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:73:02', 'signal_strength': -70, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:32:e2', 'signal_strength': -70, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:32:e0', 'signal_strength': -70, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:32:e1', 'signal_strength': -67, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:2d:02', 'signal_strength': -67, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:2d:00', 'signal_strength': -69, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:2d:01', 'signal_strength': -68, 'ssid': 'HowToUseEduroam'}]",1720544178
esp_32_404,45,2,WH_C_35_corridor,"[{'bssid': 'dc:b8:08:c9:61:41', 'signal_strength': -71, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:61:42', 'signal_strength': -70, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:61:40', 'signal_strength': -67, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:32:e0', 'signal_strength': -72, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:32:e1', 'signal_strength': -71, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:73:80', 'signal_strength': -65, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:73:81', 'signal_strength': -68, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:73:82', 'signal_strength': -66, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:54:a0', 'signal_strength': -71, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:54:a1', 'signal_strength': -71, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:54:a2', 'signal_strength': -71, 'ssid': 'Gast@HTW'}]",1720544211
esp_32_405,46,2,WH_C_35_corridor,"[{'bssid': 'dc:b8:08:c9:61:41', 'signal_strength': -56, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:61:42', 'signal_strength': -58, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:61:40', 'signal_strength': -56, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:32:e2', 'signal_strength': -65, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:32:e0', 'signal_strength': -65, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:32:e1', 'signal_strength': -65, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:2d:02', 'signal_strength': -70, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:2d:00', 'signal_strength': -70, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:2d:01', 'signal_strength': -70, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:1b:c0', 'signal_strength': -72, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:1b:c1', 'signal_strength': -72, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:1b:c2', 'signal_strength': -73, 'ssid': 'Gast@HTW'}]",1720544246
esp_32_406,47,2,WH_C_35_corridor,"[{'bssid': 'dc:b8:08:c9:61:41', 'signal_strength': -70, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:61:42', 'signal_strength': -71, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:61:40', 'signal_strength': -72, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:73:01', 'signal_strength': -74, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:73:00', 'signal_strength': -72, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:73:02', 'signal_strength': -75, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:32:e0', 'signal_strength': -70, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:32:e1', 'signal_strength': -73, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:2d:02', 'signal_strength': -69, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:2d:00', 'signal_strength': -71, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:2d:01', 'signal_strength': -75, 'ssid': 'HowToUseEduroam'}]",1720544281
esp_32_407,48,2,WH_C_35_corridor,"[{'bssid': 'dc:b8:08:c9:61:41', 'signal_strength': -72, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:61:42', 'signal_strength': -74, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:61:40', 'signal_strength': -72, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:73:01', 'signal_strength': -73, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:73:00', 'signal_strength': -75, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:73:02', 'signal_strength': -76, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:3f:c0', 'signal_strength': -71, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:3f:c1', 'signal_strength': -71, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:3f:c2', 'signal_strength': -72, 'ssid': 'Gast@HTW'}]",1720544316
esp_32_408,49,2,WH_C_35_corridor,"[{'bssid': 'dc:b8:08:c9:61:41', 'signal_strength': -73, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:61:42', 'signal_strength': -74, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:61:40', 'signal_strength': -72, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:73:01', 'signal_strength': -71, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:73:00', 'signal_strength': -73, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:73:02', 'signal_strength': -71, 'ssid': 'Gast@HTW'}]",1720544350
esp_32_409,50,2,WH_C_35_corridor,"[{'bssid': 'dc:b8:08:c9:61:41', 'signal_strength': -53, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:61:42', 'signal_strength': -54, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:61:40', 'signal_strength': -54, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:73:01', 'signal_strength': -74, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:73:00', 'signal_strength': -75, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:73:02', 'signal_strength': -76, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:32:e2', 'signal_strength': -68, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:32:e0', 'signal_strength': -67, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:32:e1', 'signal_strength': -69, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:2d:02', 'signal_strength': -62, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:2d:00', 'signal_strength': -62, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:2d:01', 'signal_strength': -63, 'ssid': 'HowToUseEduroam'}]",1720544385
esp_32_4010,51,2,WH_C_35_corridor,"[{'bssid': 'dc:b8:08:c9:61:41', 'signal_strength': -56, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:61:42', 'signal_strength': -56, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:61:40', 'signal_strength': -56, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:32:e2', 'signal_strength': -65, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:32:e0', 'signal_strength': -63, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:32:e1', 'signal_strength': -64, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:73:80', 'signal_strength': -71, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:73:81', 'signal_strength': -67, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:73:82', 'signal_strength': -69, 'ssid': 'Gast@HTW'}]",1720544420
esp_32_4011,52,2,WH_C_35_corridor,"[{'bssid': 'dc:b8:08:c9:61:41', 'signal_strength': -62, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:61:42', 'signal_strength': -60, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:61:40', 'signal_strength': -60, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:32:e2', 'signal_strength': -69, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:32:e0', 'signal_strength': -68, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:32:e1', 'signal_strength': -67, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:2d:02', 'signal_strength': -69, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:2d:00', 'signal_strength': -68, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:2d:01', 'signal_strength': -70, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:73:80', 'signal_strength': -71, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:73:81', 'signal_strength': -71, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:73:82', 'signal_strength': -70, 'ssid': 'Gast@HTW'}]",1720544455
esp_32_4012,53,2,WH_C_35_corridor,"[{'bssid': 'dc:b8:08:c9:61:41', 'signal_strength': -62, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:61:42', 'signal_strength': -62, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:61:40', 'signal_strength': -65, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:73:01', 'signal_strength': -75, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:73:00', 'signal_strength': -75, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:73:02', 'signal_strength': -74, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:32:e2', 'signal_strength': -65, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:32:e0', 'signal_strength': -69, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:32:e1', 'signal_strength': -63, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:2d:02', 'signal_strength': -68, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:2d:00', 'signal_strength': -68, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:2d:01', 'signal_strength': -67, 'ssid': 'HowToUseEduroam'}]",1720544488
esp_32_4013,54,2,WH_C_35_corridor,"[{'bssid': 'dc:b8:08:c9:61:41', 'signal_strength': -65, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:61:42', 'signal_strength': -67, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:61:40', 'signal_strength': -66, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:73:01', 'signal_strength': -72, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:73:00', 'signal_strength': -75, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:73:02', 'signal_strength': -71, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:2d:02', 'signal_strength': -67, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:2d:00', 'signal_strength': -69, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:2d:01', 'signal_strength': -69, 'ssid': 'HowToUseEduroam'}]",1720544521
esp_32_4014,55,2,WH_C_35_corridor,"[{'bssid': 'dc:b8:08:c9:61:41', 'signal_strength': -71, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:61:42', 'signal_strength': -74, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:61:40', 'signal_strength': -71, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:73:01', 'signal_strength': -71, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:73:00', 'signal_strength': -72, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:73:02', 'signal_strength': -69, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:32:e0', 'signal_strength': -72, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:2d:02', 'signal_strength': -73, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:2d:00', 'signal_strength': -73, 'ssid': 'eduroam'}]",1720544555
